date,ticker
2011-01-18,QLGC
2011-02-28,AYE
2011-03-01,MFE
2011-04-01,Q
2011-04-04,GENZ
2011-04-28,NOVL
2011-06-02,MEE
2011-07-01,RSHCQ
2011-07-06,MI
2011-09-26,NSM
2011-10-14,CEPH
2011-11-01,ITT
2011-11-23,JNS
2011-12-12,GAS
2011-12-19,AKS
2011-12-19,MWW
2011-12-19,SUNEQ
2011-12-21,TLAB
2012-01-03,CPWR
2012-03-13,CEG
2012-04-02,MHS
2012-05-01,SVU
2012-05-22,MMI
2012-05-25,EP
2012-06-05,NVLS
2012-06-29,HSH
2012-07-02,PGN
2012-07-27,GR
2012-09-05,SHLD
2012-10-01,ATGE
2012-10-01,LXK
2012-10-02,ANRZQ
2012-10-05,SUN
2012-12-03,CBE
2012-12-12,RRD
2012-12-24,TIE
2013-01-02,FII
2013-02-14,BIG
2013-05-01,TMUS
2013-05-07,CVH
2013-05-24,DF
2013-06-07,HNZ
2013-06-24,FHN
2013-07-01,APOL
2013-07-09,S
2013-09-11,BMC
2013-09-23,AMD
2013-09-23,LDOS
2013-10-29,DELL
2013-11-13,NYX
2013-12-02,JCP
2013-12-09,MOLX
2013-12-23,ANF
2013-12-23,TER
2013-12-23,VIAV
2014-01-24,LIFE
2014-03-24,WPX
2014-04-02,CLF
2014-05-01,BEAM
2014-05-01,SLM
2014-05-07,LSI
2014-06-20,IGT
2014-07-01,FRX
2014-07-02,X
2014-08-19,RDC
2014-09-22,BTUUQ
2014-09-22,GHC
2014-11-05,JBL
2014-12-05,BMS
2015-01-27,COV
2015-01-27,SWY
2015-03-12,PETM
2015-03-17,CFN
2015-03-23,AVP
2015-03-23,DNR
2015-03-23,NBR
2015-04-07,WIN
2015-06-12,LO
2015-06-30,TEG
2015-07-01,QEP
2015-07-02,ATI
2015-07-02,MWV
2015-07-06,KRFT
2015-07-07,FDO
2015-07-20,NE
2015-07-27,DTV
2015-08-31,PLL
2015-09-03,HSP
2015-10-08,JOY
2015-11-02,HCBK
2015-11-17,FCPT
2015-11-18,GNW
2015-11-18,SIAL
2015-12-01,DXC
2015-12-14,CMCSK
2015-12-28,ALTR
2016-01-05,FOSL
2016-02-01,BRCM
2016-02-01,PCP
2016-02-22,PCL
2016-03-03,GMCR
2016-03-04,CNX
2016-03-24,POM
2016-03-30,ESV
2016-04-04,CAM
2016-04-18,THC
2016-04-25,GME
2016-05-02,ADT
2016-05-12,SNDK
2016-05-18,TWC
2016-05-23,ARG
2016-05-31,CCE
2016-05-31,CCEP
2016-06-03,BXLT
2016-06-21,CVC
2016-07-01,CPGX
2016-07-01,GAS
2016-07-01,TE
2016-09-07,EMC
2016-09-23,HOT
2016-10-03,DO
2016-12-02,LM
2016-12-02,OI
2017-01-05,STJ
2017-02-27,SE
2017-03-01,PBI
2017-03-02,ENDP
2017-03-13,HAR
2017-03-13,LLTC
2017-03-20,FSLR
2017-03-20,FTR
2017-03-20,URBN
2017-04-04,SWN
2017-04-05,DNB
2017-06-02,TGNA
2017-06-15,MJN
2017-06-19,AABA
2017-06-19,R
2017-06-19,TDC
2017-07-25,RAI
2017-07-26,BBBY
2017-07-26,MNK
2017-07-26,MUR
2017-07-26,RIG
2017-08-08,AN
2017-08-28,WFM
2017-09-01,DD
2017-09-01,DOW
2017-09-13,SPLS
2017-10-13,LVLT
2017-12-29,BCR
2018-03-07,SNI
2018-03-19,CHK
2018-03-19,PDCO
2018-03-19,SIG
2018-04-04,CSRA
2018-05-31,WYND
2018-06-05,NAVI
2018-06-07,MON
2018-06-15,TWX
2018-06-18,AYI
2018-06-18,RRC
2018-07-02,KDP
2018-08-28,GGP
2018-09-12,XL
2018-09-19,KORS
2018-10-01,ANDV
2018-10-11,EVHC
2018-10-31,PX
2018-11-06,CA
2018-11-13,EQT
2018-11-27,COL
2018-11-29,AET
2018-12-03,SRCL
2018-12-21,ESRX
2019-01-02,SCG
2019-01-18,PCG
2019-02-15,NFX
2019-02-27,GT
2019-04-02,BHF
2019-06-01,HRS
2019-06-03,DWDP
2019-06-03,FLR
2019-06-07,MAT
2019-07-01,LLL
2019-07-15,RHT
2019-08-08,TMK
2019-08-09,APC
2019-08-09,FL
2019-09-23,TSS
2019-09-26,JEF
2019-10-03,NKTR
2019-10-18,BHGE
2019-11-05,HCP
2019-11-05,SYMC
2019-11-21,CELG
2019-12-05,CBS
2019-12-05,VIAB
2019-12-09,BBT
2019-12-09,STI
2019-12-10,JEC
2019-12-23,AMG
2019-12-23,MAC
2019-12-23,TRIP
2020-01-28,WCG
2020-03-03,XEC
2020-04-03,UTX
2020-04-06,ARNC
2020-04-06,M
2020-04-06,RTN
2020-05-12,AGN
2020-05-12,CPRI
2020-05-22,HP
2020-06-22,ADS
2020-06-22,HOG
2020-06-22,JWN
2020-09-18,CTL
2020-09-21,COTY
2020-09-21,HRB
2020-09-21,KSS
2020-10-07,ETFC
2020-10-12,NBL
2020-11-17,MYL
2020-12-21,AIV
2021-01-07,TIF
2021-01-21,CXO
2021-02-12,FTI
2021-03-22,FLS
2021-03-22,SLG
2021-03-22,VNT
2021-03-22,XRX
2021-04-20,VAR
2021-05-14,FLIR
2021-06-04,HFC
2021-07-21,ALXN
2021-08-03,LB
2021-08-30,MXIM
2021-09-20,NOV
2021-09-20,PRGO
2021-09-20,UNM
2021-10-04,COG
2021-12-14,KSU
2021-12-20,HBI
2021-12-20,LEG
2021-12-20,WU
2022-01-10,WLTW
2022-02-02,GPS
2022-02-15,XLNX
2022-02-17,VIAC
2022-03-02,INFO
2022-04-04,PBCT
2022-04-11,DISCA
2022-04-11,DISCK
2022-05-10,BLL
2022-06-08,CERN
2022-06-09,FB
2022-06-21,IPGP
2022-06-21,UA
2022-06-21,UAA
2022-06-28,ANTM
2022-09-19,PENN
2022-09-19,PVH
2022-10-03,CTXS
2022-10-03,DRE
2022-10-12,NLSN
2022-11-01,TWTR
2022-11-08,NLOK
2022-12-19,FBHS
2022-12-22,ABMD
2023-01-04,VNO
2023-03-15,SBNY
2023-03-15,SIVB
2023-03-20,LUMN
2023-05-04,FRC
2023-05-16,PKI
2023-06-07,FISV
2023-06-20,DISH
2023-07-10,RE
2023-08-25,AAP
2023-08-30,ABC
2023-09-18,LNC
2023-09-18,NWL
2023-10-02,DXC
2023-10-18,ALK
2023-10-18,ATVI
2023-10-18,OGN
2023-10-18,SEDG
2023-10-18,SEE
2024-02-01,CDAY
2024-03-04,PEAK
2024-03-18,WHR
2024-03-18,ZION
2024-03-25,FLT
2024-04-03,VFC
2024-04-03,XRAY
2024-05-08,PXD
2024-06-24,CMA
2024-06-24,ILMN
2024-06-24,RHI
2024-07-08,WRK
2024-09-23,AAL
2024-09-23,BIO
2024-09-23,ETSY
2024-10-01,BBWI
2024-11-26,MRO
2024-12-23,AMTM
2024-12-23,CTLT
2024-12-23,QRVO
2025-03-24,BWA
2025-03-24,CE
2025-03-24,FMC
2025-03-24,TFX
2025-05-19,DFS
2025-07-09,JNPR
2025-07-18,ANSS
2025-07-23,HES
2025-08-08,PARA
2025-08-28,WBA
2025-09-22,CZR
2025-09-22,ENPH
2025-09-22,MKTX
2025-10-31,KMX
2025-11-04,EMN
2025-11-11,FI
2025-11-28,IPG
2025-12-11,K
2025-12-22,LKQ
2025-12-22,MHK
2025-12-22,SOLS
2026-01-14,MMC
2026-02-09,DAY
2026-03-23,LW
2026-03-23,MOH
2026-03-23,MTCH
2026-03-23,PAYC
2026-04-09,HOLX
2026-05-07,CTRA
2026-05-21,BK
2026-06-02,EPAM
