date,ticker,name
2017-12-20,DOGZ,Dogness (International) Corp
2017-12-21,LX,LexinFintech Holdings Ltd.
2017-12-22,ICLK,Amber International Holding Ltd
2018-01-02,CUE,"Cue Biopharma, Inc."
2018-01-12,ILPT,Industrial Logistics Properties Trust
2018-01-12,LBRT,Liberty Energy Inc.
2018-01-19,ADT,ADT Inc.
2018-01-19,COLD,AMERICOLD REALTY TRUST
2018-01-19,NINE,"Nine Energy Service, Inc."
2018-01-24,PAGS,PagSeguro Digital Ltd.
2018-01-25,EYEN,"HYPERION DEFI, INC."
2018-01-25,GTES,Gates Industrial Corp plc
2018-01-25,MNLO,VYNE Therapeutics Inc.
2018-01-26,AGS,"PlayAGS, Inc."
2018-01-26,ARMO,"ARMO BioSciences, Inc."
2018-01-26,SLDB,Solid Biosciences Inc.
2018-01-26,TORC,"Adicet Bio, Inc."
2018-02-01,CAAP,CORPORACION AMERICA AIRPORTS S.A.
2018-02-01,HUD,Hudson Ltd.
2018-02-01,IPIC,iPic Entertainment Inc.
2018-02-01,OSS,"ONE STOP SYSTEMS, INC."
2018-02-01,SLGL,Sol-Gel Technologies Ltd.
2018-02-01,VICI,VICI PROPERTIES INC.
2018-02-02,FTSI,"FTS International, Inc."
2018-02-05,PLTM,GraniteShares Platinum Trust
2018-02-05,SSLJ,SSLJ. COM Ltd
2018-02-08,EOLS,"Evolus, Inc."
2018-02-08,HMI,Zepp Health Corp
2018-02-08,WHD,"Cactus, Inc."
2018-02-09,CDLX,"Cardlytics, Inc."
2018-02-09,QES,Quintana Energy Services Inc.
2018-02-14,BFRA,Biofrontera AG
2018-02-14,MOTS,"Motus GI Holdings, Inc."
2018-02-16,FAMI,"Farmmi, Inc."
2018-03-08,BTAI,"BioXcel Therapeutics, Inc."
2018-03-14,BWB,Bridgewater Bancshares Inc
2018-03-15,RCUS,"Arcus Biosciences, Inc."
2018-03-16,AIHS,Senmiao Technology Ltd
2018-03-16,ZS,"Zscaler, Inc."
2018-03-22,BDRY,Amplify Commodity Trust
2018-03-23,DBX,"DROPBOX, INC."
2018-03-23,STG,Sunlands Technology Group
2018-03-27,GHG,GreenTree Hospitality Group Ltd.
2018-03-28,BILI,Bilibili Inc.
2018-03-28,FIXX,Q32 Bio Inc.
2018-03-28,ONE,Meta Data Ltd
2018-03-28,OPBK,OP Bancorp
2018-03-29,GNPX,"Genprex, Inc."
2018-03-29,IQ,"iQIYI, Inc."
2018-03-29,UMRX,"Cogent Biosciences, Inc."
2018-04-03,SPOT,Spotify Technology S.A.
2018-04-12,ZUO,ZUORA INC
2018-04-18,AGMH,"AGM GROUP HOLDINGS, INC."
2018-04-19,EAF,GRAFTECH INTERNATIONAL LTD
2018-04-19,SURF,"Surface Oncology, Inc."
2018-04-20,LEVL,Level One Bancorp Inc
2018-04-20,PVTL,"Pivotal Software, Inc."
2018-04-26,CDAY,"Dayforce, Inc."
2018-04-27,GSHD,"Goosehead Insurance, Inc."
2018-05-02,PRT,PermRock Royalty Trust
2018-05-03,INSP,"Inspire Medical Systems, Inc."
2018-05-03,UBX,"Unity Biotechnology, Inc."
2018-05-03,XSPL,"Vinco Ventures, Inc."
2018-05-04,ASLN,ASLAN Pharmaceuticals Ltd
2018-05-04,BCML,BayCom Corp
2018-05-04,CBLK,"Carbon Black, Inc."
